Alpha,SNP_A,SNP_B,SNP_C
0.503466,N28,N39,M2Q3
0.503466,N28,M0P2,M1T3
0.503466,N28,M0P1,M1T2
0.503466,N18,M0P2,M1T1
0.503466,N12,N40,M2Q3
0.503466,N12,N20,N28
0.503466,N10,N28,M1T3
0.503465,N4,N19,N36
0.503465,N2,N26,N31
0.503465,N20,N29,N36
0.503465,N13,N17,N31
0.503464,N32,N33,M2Q3
0.503464,M1T1,M2Q2,M2Q3
0.503463,N2,N33,N36
0.503463,N18,N40,M1T2
0.503463,N14,N22,N31
0.503462,N7,N33,M1T1
0.503462,N6,N7,N40
0.503462,N6,M1T1,M2Q3
0.503462,N3,N19,M1T1
0.503462,N21,N24,N36
0.503462,N12,N18,N36
0.503461,N7,N28,N39
0.503461,N4,N34,N36
0.503461,N21,N35,N37
0.503461,N20,N32,N34
0.503461,N16,N18,N28
0.503461,N15,M0P1,M1T1
0.503461,N13,N17,N18
0.503461,N11,N23,N31
0.503460,N3,N29,N30
0.503460,N18,N19,M1T1
0.503459,N6,N8,N34
0.503459,N6,N7,M0P1
0.503459,N6,N40,M1T3
0.503459,N3,N7,N30
0.503459,N3,N4,M0P2
0.503459,N18,N22,N38
0.503458,N9,N12,M2Q3
0.503458,N7,N27,M0P2
0.503458,N5,N29,N40
0.503458,N20,N27,N31
0.503457,N4,N36,M1T3
0.503457,N27,N34,M2Q1
0.503457,N10,N11,N18
0.503456,N9,N37,M1T1
0.503456,N9,N23,M1T1
0.503456,N9,N14,N18
0.503456,N4,N15,N22
0.503456,N31,M0P1,M1T1
0.503456,N21,N40,M2Q3
0.503456,N14,M1T3,M2Q2
0.503455,N7,N11,N13
0.503455,N3,N19,N39
0.503455,N30,N36,M1T3
0.503455,N10,N22,M0P1
0.503454,N4,N7,N9
0.503454,N3,N12,M1T1
0.503454,N2,N6,N24
0.503454,N16,N21,M1T2
0.503454,N11,N27,N29
0.503453,N9,M2Q3,M2Q4
0.503453,N4,N19,N31
0.503453,N3,N9,N29
0.503453,N11,N19,M1T1
0.503453,N10,N30,N39
0.503452,N4,N24,M0P2
0.503452,N31,N32,N40
0.503452,N20,N22,M1T2
0.503452,N16,N35,M2Q1
0.503451,N7,N40,M2Q2
0.503451,N38,M0P1,M2Q4
0.503451,N16,N32,M1T2
0.503451,N16,M0P2,M2Q1
0.503450,N6,N20,N36
0.503450,N31,N39,M2Q4
0.503450,N28,N35,M1T3
0.503450,N26,N30,M2Q2
0.503450,N25,N31,M2Q1
0.503450,N24,N27,M0P2
0.503450,N22,N29,M2Q1
0.503450,N18,N25,N28
0.503450,N18,N24,N38
0.503449,N9,N18,N30
0.503449,N7,N12,N22
0.503449,N12,N17,N20
0.503449,N12,N15,N20
0.503449,N10,N27,M2Q4
0.503448,N6,N22,M2Q2
0.503448,N6,N18,N39
0.503448,N4,N7,N16
0.503448,N4,N13,M2Q3
0.503448,N3,N27,M0P2
0.503448,N20,N33,N40
0.503448,N18,N25,N29
0.503447,N8,N20,N31
0.503447,N4,N6,M1T3
0.503447,N32,M2Q3,M2Q4
0.503447,N24,N28,M1T3
0.503447,N23,N28,M2Q3
0.503447,N23,M1T2,M2Q1
0.503447,N13,N29,M2Q4
0.503447,N12,N14,N27
0.503446,N9,N18,N26
0.503446,N4,N12,N25
0.503446,N36,N39,M1T2
0.503446,N34,N39,M2Q2
0.503446,N14,N30,M2Q4
0.503446,N11,N24,M2Q3
0.503446,N11,N20,M1T1
0.503445,N8,N30,N39
0.503445,N3,N39,M1T1
0.503445,N2,N27,M1T3
0.503445,N16,N24,N34
0.503444,N8,N18,M0P1
0.503444,N4,N40,M2Q4
0.503444,N37,M1T2,M2Q4
0.503444,N33,N36,M2Q1
0.503444,N28,N34,M2Q3
0.503444,N24,N27,M2Q1
0.503444,N22,M0P1,M2Q4
0.503444,N17,N19,M2Q3
0.503444,N16,N18,N26
0.503444,N10,N18,N28
0.503444,M0P1,M1T3,M2Q3
0.503443,N7,N35,N40
0.503443,N3,N23,N37
0.503443,N23,N31,M0P1
0.503443,N22,N30,M2Q3
0.503442,N9,N10,N40
0.503442,N6,N7,N39
0.503442,N4,N31,N35
0.503442,N40,M2Q1,M2Q3
0.503442,N29,N36,M0P2
0.503442,N20,N22,N32
0.503442,N17,N34,M1T1
0.503441,N26,N31,N36
0.503441,N10,N29,N36
0.503440,N6,N7,N13
0.503440,N4,N29,M2Q4
0.503440,N3,N28,M1T3
0.503440,N34,N40,M2Q1
0.503440,N2,N22,M1T2
0.503440,N23,M0P2,M1T3
0.503440,N19,N23,N37
0.503440,N16,M1T1,M2Q2
0.503439,N7,N11,N39
0.503439,N7,N10,N33
0.503439,N3,N24,N31
0.503439,N36,M0P1,M2Q1
0.503439,N35,N37,M0P2
0.503439,N31,M1T1,M2Q4
0.503439,N30,M1T3,M2Q2
0.503439,N22,M1T2,M2Q1
0.503439,N19,N33,M2Q2
0.503439,N18,N40,M0P2
0.503438,N8,N39,M2Q2
0.503438,N6,N7,N9
0.503438,N3,N7,N33
0.503438,N24,N30,M1T2
0.503438,N11,N14,N20
0.503437,N4,N36,M0P2
0.503437,N3,N11,N31
0.503437,N33,N37,M0P2
0.503437,N23,M2Q2,M2Q3
0.503437,N18,N29,N37
0.503437,N16,N31,N38
0.503437,N14,M0P1,M1T2
0.503436,N5,N34,M2Q2
0.503436,N4,M1T1,M2Q2
0.503436,N26,N35,M2Q4
0.503436,N20,N37,M2Q4
0.503436,N16,M1T2,M2Q4
0.503436,N13,N34,N38
0.503435,N9,N31,M2Q2
0.503435,N5,N6,N30
0.503435,N2,N24,N38
0.503434,N3,M0P2,M1T1
0.503434,N33,M1T2,M2Q1
0.503434,N31,N39,M2Q2
0.503434,N18,N24,N37
0.503433,N33,M0P1,M2Q1
0.503433,N30,N39,M2Q3
0.503433,N29,M1T3,M2Q2
0.503433,N26,N40,M2Q3
0.503432,N7,N20,N38
0.503432,N4,N29,N37
0.503432,N4,M1T2,M1T3
0.503432,N40,M1T2,M2Q3
0.503432,N3,N26,M2Q2
0.503432,N29,M2Q1,M2Q4
0.503432,N13,N35,M2Q4
0.503431,N29,N36,N39
0.503431,N27,N29,M2Q3
0.503431,N17,M1T2,M1T3
0.503430,N9,N11,M2Q3
0.503430,N6,N29,M1T3
0.503430,N4,M1T3,M2Q3
0.503430,N32,N35,M1T3
0.503430,N31,N39,N40
0.503430,N27,N30,M2Q4
0.503430,N20,N22,N23
0.503430,N19,N22,M2Q3
0.503430,N17,N33,M2Q2
0.503430,N13,N29,N40
0.503430,N12,N18,N25
0.503430,N10,N18,N30
0.503429,N9,N31,N36
0.503429,N2,N20,M0P1
0.503429,N2,N16,N18
0.503429,N20,N36,N40
0.503429,N10,N14,N18
0.503428,N4,N31,N38
0.503428,N3,N9,N33
0.503428,N3,N7,N35
0.503428,N3,N37,M2Q2
0.503428,N3,N26,M0P1
0.503428,N19,N26,N37
0.503428,N10,N12,N18
0.503427,N7,N10,N12
0.503427,N35,M1T1,M2Q4
0.503427,N24,M0P1,M1T1
0.503427,N23,N27,N31
0.503427,N11,N13,N18
0.503426,N26,N39,M2Q2
0.503426,N16,N19,N37
0.503426,N11,N31,M2Q2
0.503425,N8,N24,M2Q3
0.503425,N3,N7,M0P2
0.503425,N2,N33,M2Q2
0.503425,N29,N36,M1T3
0.503425,N23,N31,M2Q4
0.503425,N22,N23,N37
0.503425,N11,N22,N30
0.503425,N10,N28,M0P2
0.503424,N8,N18,N39
0.503424,N6,N24,N39
0.503424,N5,N19,N30
0.503424,N4,N11,N24
0.503424,N3,N18,N40
0.503424,N18,N26,M1T2
0.503423,N6,N10,M1T3
0.503423,N4,N16,N18
0.503423,N34,N36,N38
0.503423,N2,M1T2,M2Q3
0.503423,N18,N22,M0P2
0.503423,N13,N33,N35
0.503423,N11,N19,N31
0.503423,N10,N29,M2Q1
0.503422,N8,N33,N36
0.503422,N8,N11,N28
0.503422,N7,N23,M1T1
0.503422,N30,N40,M0P2
0.503422,N2,N3,N11
0.503422,N18,N28,N40
0.503422,N17,N20,N34
0.503421,N9,M0P2,M1T1
0.503421,N5,N11,N24
0.503421,N3,N28,N29
0.503421,N30,N39,M0P1
0.503421,N29,N36,M2Q4
0.503421,N22,N36,M2Q1
0.503421,N20,N40,M1T3
0.503421,N17,N31,M1T1
0.503421,N16,N28,N34
0.503421,N15,N34,M1T2
0.503421,N10,N35,M2Q2
0.503421,N10,N32,N37
0.503420,N6,N24,M2Q4
0.503420,N4,M0P2,M1T2
0.503420,N3,N33,N40
0.503420,N37,N40,M1T2
0.503420,N27,M0P1,M2Q1
0.503420,N16,N38,M2Q3
0.503419,N30,M0P1,M2Q2
0.503419,N26,M2Q3,M2Q4
0.503419,N22,N31,N33
0.503419,N13,N31,N39
0.503419,N11,N29,N35
0.503418,N9,N18,M1T2
0.503418,N9,N16,M1T1
0.503418,N6,N32,N34
0.503418,N2,N29,M2Q4
0.503418,N15,N38,M0P1
0.503418,N11,M1T1,M2Q3
0.503417,N7,N33,N34
0.503417,N37,N38,N40
0.503417,N30,N33,M2Q2
0.503417,N2,N22,M0P1
0.503417,N11,N19,M2Q1
0.503416,N22,N35,M2Q2
0.503416,N11,N21,N22
0.503415,N3,N5,M1T3
0.503415,N33,N36,M2Q2
0.503415,N2,N10,N22
0.503415,N28,N29,M1T3
0.503415,N20,N32,M1T1
0.503415,N12,N26,M1T3
0.503414,N9,N18,M2Q3
0.503414,N4,N40,M2Q3
0.503414,N31,N36,M2Q4
0.503414,N23,N39,M0P1
0.503414,N21,N36,M1T3
0.503414,N18,N32,N38
0.503414,N14,N20,N37
0.503414,N11,N17,M2Q2
0.503413,N9,N36,M2Q1
0.503413,N9,N27,M1T1
0.503413,N9,N16,N36
0.503413,N5,N38,M0P1
0.503413,N4,N7,N11
0.503413,N13,N30,M2Q3
0.503412,N2,N16,M0P1
0.503412,N20,N22,N28
0.503412,N11,N29,M2Q1
0.503411,N8,N39,M2Q3
0.503411,N35,M0P1,M2Q3
0.503411,N22,N36,N37
0.503410,N4,M1T3,M2Q4
0.503410,N31,M0P2,M2Q4
0.503410,N17,N20,N22
0.503410,N14,N34,N37
0.503409,N8,N39,M0P2
0.503409,N3,N17,M1T3
0.503409,N2,N10,N28
0.503409,N24,N38,M1T3
0.503409,N19,N20,M2Q4
0.503409,N10,N15,M2Q4
0.503408,N7,N21,N22
0.503408,N6,N29,N31
0.503408,N6,N22,M0P1
0.503408,N5,N30,M0P1
0.503408,N2,N28,M2Q3
0.503408,N21,M1T1,M1T3
0.503408,N20,N36,N39
0.503408,N18,N19,N30
0.503408,N15,N36,N39
0.503408,N13,N27,N36
0.503407,N32,N40,M1T1
0.503407,N20,N21,N33
0.503407,N17,N37,N40
0.503407,N15,N27,M2Q1
0.503406,N6,N18,M2Q4
0.503406,N6,N13,N19
0.503406,N31,N37,M0P1
0.503406,N24,N30,N34
0.503406,N22,M1T2,M2Q3
0.503406,N15,N35,M1T2
0.503405,N6,M1T3,M2Q2
0.503405,N31,N32,M2Q1
0.503405,N14,N26,N31
0.503405,N12,N14,N36
0.503404,N32,N36,N37
0.503404,N24,N29,M0P2
0.503404,N12,N31,N40
0.503404,N11,N12,N24
0.503403,N8,N18,N19
0.503403,N7,N11,N25
0.503403,N4,N16,N22
0.503403,N32,N33,N36
0.503403,N29,N37,M1T3
0.503402,N8,N31,M0P1
0.503402,N6,N36,M0P1
0.503402,N26,M2Q1,M2Q4
0.503402,N23,M0P2,M2Q2
0.503401,N5,N7,N18
0.503401,N2,N28,N40
0.503401,N29,N31,N35
0.503401,N20,N35,M0P2
0.503401,N13,N18,N37
0.503400,N9,N13,M2Q3
0.503400,N5,N22,N36
0.503400,N4,N26,N31
0.503400,N22,N31,M1T2
0.503400,N19,N31,M2Q4
0.503400,N13,N15,M2Q2
0.503399,N33,M0P2,M2Q4
0.503399,N19,N31,N39
0.503399,N17,N35,M1T3
0.503399,N16,N40,M2Q1
0.503399,N16,N22,N37
0.503399,N12,N30,M0P2
0.503398,N5,N10,N35
0.503398,N29,N32,M1T2
0.503398,N17,N36,M1T3
0.503398,N16,N20,N29
0.503398,N15,N37,M2Q2
0.503397,N8,N36,N40
0.503397,N6,N17,N34
0.503397,N2,N11,N21
0.503397,N19,M0P1,M2Q4
0.503396,N9,N40,M1T1
0.503396,N9,N20,N26
0.503396,N7,N22,M0P2
0.503396,N7,N13,N14
0.503396,N3,N4,M2Q3
0.503396,N22,M1T1,M2Q4
0.503396,N19,N35,M1T3
0.503396,N14,N18,M0P1
0.503396,N12,N26,M2Q2
0.503395,N8,N18,M1T1
0.503395,N4,N26,M1T1
0.503395,N4,N14,M1T3
0.503395,N22,N32,M1T3
0.503395,N21,N38,M0P1
0.503395,N17,N38,M2Q3
0.503394,N9,N36,M2Q3
0.503394,N7,N27,N37
0.503394,N7,N26,M2Q2
0.503394,N4,N15,M1T2
0.503394,N35,M0P2,M1T2
0.503394,N15,M1T1,M2Q3
0.503394,N13,M1T3,M2Q1
0.503393,N34,N39,M0P2
0.503393,N29,N32,N38
0.503393,N18,N39,M1T1
0.503393,N10,M0P2,M2Q2
0.503392,N8,N31,M0P2
0.503392,N2,N28,M1T3
0.503392,N2,N12,N35
0.503392,N15,N37,M2Q3
0.503391,N3,N32,M2Q3
0.503391,N12,N23,M2Q1
0.503391,N11,N15,N28
0.503390,N5,N32,N36
0.503390,N16,N17,M2Q2
0.503390,N11,N12,N38
0.503389,N16,N18,N36
0.503389,N14,N18,N36
0.503389,N13,N14,N31
0.503389,N11,N38,M2Q1
0.503389,N11,N14,N18
0.503388,N9,N33,M2Q3
0.503388,N18,N29,N32
0.503388,N18,M1T2,M2Q3
0.503387,N8,N28,M2Q4
0.503387,N2,N23,M1T2
0.503387,N2,N18,N22
0.503387,N20,N31,M0P1
0.503387,N18,N36,M2Q4
0.503387,N12,N30,N35
0.503386,N7,N39,M1T1
0.503386,N5,N26,M2Q2
0.503386,N32,N34,N37
0.503386,N29,N32,M0P1
0.503386,N26,N31,M1T2
0.503386,N17,N22,N32
0.503386,N11,N22,N26
0.503385,N8,N16,N34
0.503385,N13,N29,M2Q1
0.503385,N13,N24,M0P1
0.503384,N8,N22,M2Q3
0.503384,N6,N13,N22
0.503384,N3,N18,N19
0.503384,N33,M2Q2,M2Q4
0.503384,N2,N17,N36
0.503384,N2,N16,N22
0.503383,N7,N15,N27
0.503383,N5,N35,M1T3
0.503383,N3,N29,N39
0.503383,N28,N34,M1T1
0.503383,N22,N34,N40
0.503383,N20,N36,M2Q2
0.503383,N20,M0P1,M2Q4
0.503383,N17,N24,M2Q3
0.503383,N12,N16,M1T1
0.503382,N7,N8,N13
0.503382,N39,M0P1,M2Q3
0.503382,N24,N28,M0P1
0.503381,N8,N26,M1T3
0.503381,N2,N40,M2Q3
0.503381,N23,N26,N31
0.503381,N18,N27,N38
0.503381,N14,N25,M1T3
0.503381,N13,N22,M0P2
0.503381,N13,N19,M1T2
0.503381,N10,N19,M1T2
0.503380,N9,N18,N24
0.503380,N4,N9,N15
0.503380,N2,N7,M0P2
0.503380,N2,N27,M1T1
0.503379,N7,N19,N22
0.503379,N4,N15,N36
0.503379,N34,M1T1,M1T2
0.503379,N27,N29,M0P1
0.503379,N22,M2Q1,M2Q4
0.503379,N15,N30,M2Q2
0.503379,N13,N17,M1T2
0.503379,N12,N16,N18
0.503379,M0P2,M1T2,M2Q4
0.503378,N9,N37,N38
0.503378,N7,N9,N29
0.503378,N4,N18,N25
0.503378,N31,N36,M0P2
0.503378,N2,N4,M0P2
0.503378,N2,N32,N36
0.503378,N22,M1T3,M2Q1
0.503378,N19,M1T1,M2Q1
0.503378,N17,N27,N31
0.503378,N13,N38,M2Q3
0.503378,N13,N31,N38
0.503378,N11,N18,M2Q1
0.503378,N10,N22,N36
0.503377,N9,N18,M0P2
0.503377,N16,N29,M2Q3
0.503377,N11,N17,M2Q1
0.503376,N8,N28,N36
0.503376,N6,N10,N36
0.503376,N4,N35,M1T1
0.503376,N38,M0P2,M2Q1
0.503376,N23,N39,M1T2
0.503376,N22,N39,M1T2
0.503376,N16,N18,N19
0.503376,N13,N22,N40
0.503376,N11,N13,N31
0.503375,N14,N30,M0P2
0.503375,N12,N14,N34
0.503374,N7,N29,N37
0.503374,N7,N27,N29
0.503374,N3,N20,N22
0.503374,N20,N34,N35
0.503374,N15,N29,M2Q4
0.503374,N10,N20,N31
0.503373,N9,M0P1,M1T3
0.503373,N7,N23,M1T2
0.503373,N4,N33,N37
0.503373,N3,N36,M2Q2
0.503373,N35,N37,N38
0.503373,N27,N29,N35
0.503373,N10,N32,N35
0.503372,N9,N12,N26
0.503372,N8,N22,M1T1
0.503372,N4,N30,M2Q2
0.503372,N3,N40,M0P1
0.503372,N3,M1T2,M2Q4
0.503372,N28,N33,M2Q3
0.503372,N16,N17,N18
0.503371,N9,N18,N36
0.503371,N27,M1T2,M1T3
0.503371,N26,N31,N33
0.503371,N18,N39,M0P2
0.503370,N6,M2Q3,M2Q4
0.503370,N29,M0P2,M1T1
0.503370,N18,N40,M2Q4
0.503370,N18,M0P1,M2Q2
0.503369,N9,M1T3,M2Q4
0.503369,N6,N32,M1T3
0.503369,N18,N29,M2Q1
0.503369,N17,N22,N36
0.503369,N15,N16,N34
0.503369,N10,N17,N31
0.503368,N7,N27,N33
0.503368,N22,N32,M2Q2
0.503367,N9,N28,M0P1
0.503367,N9,N15,N38
0.503366,N9,N18,M2Q2
0.503366,N8,N27,N30
0.503366,N6,N27,N39
0.503366,N3,N27,M1T2
0.503366,N18,N23,N36
0.503366,N11,N26,N31
0.503365,N4,N24,M1T3
0.503365,N4,N15,M0P1
0.503365,N28,N39,M1T3
0.503365,N23,N24,N39
0.503365,N19,N36,N37
0.503365,N13,N22,N35
0.503364,N4,N7,N39
0.503364,N4,N26,M0P2
0.503364,N40,M1T2,M2Q4
0.503364,N32,M1T3,M2Q2
0.503364,N20,N23,N29
0.503364,N14,N18,N38
0.503363,N8,N24,N30
0.503363,N7,N9,N34
0.503363,N6,N17,M1T1
0.503363,N4,N12,N27
0.503363,N36,N38,N39
0.503363,N2,N20,N28
0.503363,N24,M2Q2,M2Q4
0.503363,N11,N37,N39
0.503362,N7,N35,M0P2
0.503362,N6,N15,N20
0.503362,N2,N34,M0P1
0.503362,N2,N20,N34
0.503362,N29,N36,N37
0.503362,N20,N21,N35
0.503362,N12,N22,M1T1
0.503361,N3,N30,N37
0.503361,N36,N40,M1T2
0.503361,N25,N27,M1T3
0.503361,N24,M1T1,M2Q1
0.503361,N14,N34,M2Q2
0.503360,N7,N10,M2Q4
0.503360,N12,N18,N29
0.503359,N9,N13,N38
0.503359,N7,N8,N18
0.503359,N3,N29,M2Q4
0.503359,N24,N37,M0P2
0.503359,N15,N19,N31
0.503359,N12,N34,M2Q2
0.503358,N8,N28,N38
0.503358,N3,N39,M2Q2
0.503358,N3,N25,M1T3
0.503358,N33,N37,M2Q3
0.503358,N32,N40,M1T3
0.503357,N7,N16,N23
0.503357,N3,N33,M1T1
0.503357,N3,N18,N32
0.503357,N22,N28,N34
0.503357,N15,M0P1,M1T3
0.503357,N12,N18,M1T2
0.503357,N10,M1T1,M2Q3
0.503356,N7,N11,N24
0.503356,N3,N29,N36
0.503356,N3,N12,M2Q1
0.503356,N20,N33,M2Q1
0.503356,N11,N28,M2Q2
0.503355,N7,N11,N26
0.503355,N2,N10,M2Q1
0.503355,N13,N15,M0P2
0.503354,N9,N12,N33
0.503354,N7,N24,M2Q4
0.503354,N7,N16,N18
0.503354,N6,N39,M1T3
0.503354,N40,M1T1,M1T3
0.503354,N24,N39,M1T1
0.503354,N16,N31,M2Q2
0.503353,N3,N35,N40
0.503353,N3,N28,M0P1
0.503353,N2,N7,N13
0.503353,N24,M0P2,M2Q1
0.503353,N18,N20,N23
0.503353,N15,N18,N35
0.503352,N8,N31,N36
0.503352,N3,N27,N33
0.503352,N16,N26,M2Q3
0.503352,N14,M2Q2,M2Q3
0.503351,N6,N10,N14
0.503351,N27,N39,M1T3
0.503351,N25,N28,M1T3
0.503351,N24,N39,M2Q4
0.503351,N23,N32,N36
0.503351,N17,N24,N38
0.503350,N7,M1T1,M2Q2
0.503350,N3,N8,N28
0.503350,N26,N31,M0P2
0.503350,N10,N18,M1T1
0.503349,N3,N18,N26
0.503349,N3,N13,M1T3
0.503349,N39,M2Q3,M2Q4
0.503348,N2,N20,N36
0.503348,N27,N35,M1T2
0.503348,N24,M0P1,M2Q4
0.503348,N18,N26,N30
0.503348,N15,N34,N38
0.503348,N13,N30,M2Q4
0.503348,N11,N15,M2Q3
0.503347,N24,N35,M2Q4
0.503347,N20,N26,N35
0.503347,N16,N20,M2Q2
0.503347,N13,N19,N24
0.503347,N12,N34,M2Q1
0.503347,N10,N34,N36
0.503346,N8,N28,M0P2
0.503346,N7,N33,N37
0.503346,N4,N15,M1T1
0.503346,N26,N28,M0P1
0.503346,N16,N23,N34
0.503346,N13,N36,M0P2
0.503346,N13,N31,M1T1
0.503345,N4,N21,M1T1
0.503345,N28,N29,M2Q4
0.503345,N24,N33,M2Q2
0.503345,N17,N22,N31
0.503345,N14,N39,M0P1
0.503345,N14,N18,N29
0.503344,N30,N33,M0P2
0.503344,N19,M2Q3,M2Q4
0.503344,N15,N38,M1T2
0.503344,N14,N27,M0P1
0.503344,N13,N14,M1T3
0.503344,N13,M2Q2,M2Q3
0.503343,N6,N15,N34
0.503343,N30,M2Q1,M2Q2
0.503343,N30,M0P2,M2Q4
0.503343,N18,N24,N34
0.503343,N10,N27,N35
0.503343,N10,N13,N34
0.503342,N5,M1T3,M2Q3
0.503342,N26,N31,M0P1
0.503342,N13,N22,N37
0.503342,N12,N29,M1T1
0.503341,N8,M0P2,M2Q4
0.503341,N7,N16,N35
0.503341,N2,N10,N33
0.503341,N29,N37,M0P2
0.503341,N27,N30,N31
0.503341,N15,N36,M1T2
0.503340,N37,N38,M2Q1
0.503340,N12,N13,M2Q1
0.503340,N10,N34,N37
0.503339,N27,N32,M2Q4
0.503339,N18,N19,M0P2
0.503339,N11,N35,M2Q4
0.503339,N11,N18,N33
0.503338,N8,N30,M1T3
0.503338,N6,N23,N32
0.503338,N5,N31,N35
0.503338,N16,M0P2,M1T1
0.503338,N15,N39,M0P2
0.503338,N14,N20,N31
0.503337,N9,N21,M1T3
0.503337,N9,N13,N28
0.503337,N6,N10,M2Q2
0.503337,N29,N32,N35
0.503337,N23,N34,M2Q3
0.503337,N12,N36,M1T3
0.503337,N10,N27,N31
0.503336,N9,N31,M2Q4
0.503336,N3,N11,N40
0.503336,N35,N40,M1T1
0.503336,N2,N19,N28
0.503336,N28,N35,M1T2
0.503336,N22,N26,N30
0.503336,N15,N36,M0P1
0.503336,N14,N33,N36
0.503336,N11,N14,N36
0.503335,N6,N19,M1T3
0.503335,N29,M0P1,M1T3
0.503335,N16,N22,N27
0.503335,N11,N33,N40
0.503334,N33,N35,M2Q1
0.503334,N31,N35,M2Q2
0.503334,N29,N31,N33
0.503334,N10,N27,M2Q1
0.503333,N9,N32,M1T3
0.503333,N8,M2Q2,M2Q3
0.503333,N20,N33,N34
0.503333,N20,N25,M2Q4
0.503333,N18,N26,M1T1
0.503333,N16,N31,M2Q4
0.503333,N16,N22,N36
0.503333,N12,N25,N34
0.503333,N12,N24,M2Q4
0.503333,N12,N18,N26
0.503333,N11,N15,N22
0.503332,N4,N10,N35
0.503332,N2,N38,M2Q1
0.503332,N2,N23,N30
0.503332,N25,N29,N37
0.503332,N23,N30,M1T2
0.503332,N21,N24,M1T3
0.503332,N18,N39,M0P1
0.503332,N16,N18,N37
0.503331,N7,N20,N21
0.503331,N33,N40,M0P2
0.503331,N2,N40,M2Q2
0.503331,N14,N26,M0P1
0.503330,N8,N10,M0P1
0.503330,N7,N10,N29
0.503330,N4,N17,N31
0.503330,N4,N15,N33
0.503330,N25,N33,M2Q4
0.503330,N23,M2Q3,M2Q4
0.503330,N21,N38,M2Q3
0.503330,N19,N26,M1T3
0.503330,N18,N36,N39
0.503329,N8,M1T1,M2Q3
0.503329,N3,N6,M2Q1
0.503329,N3,N13,N15
0.503329,N29,N35,M2Q2
0.503329,N17,N38,M1T3
0.503329,N15,N18,N39
0.503329,N12,N36,N39
0.503328,N7,N24,M0P2
0.503328,N3,N7,N40
0.503328,N2,M0P1,M1T3
0.503328,N27,N31,M0P1
0.503328,N22,N37,M1T1
0.503328,N13,N20,N33
0.503327,N7,N10,M0P1
0.503327,N6,N39,M2Q1
0.503327,N24,N34,M1T2
0.503327,N23,N35,M1T2
0.503327,N16,N39,M0P1
0.503327,N14,N15,N31
0.503327,N12,N24,M0P1
0.503327,N12,N23,N39
0.503327,N12,N16,N34
0.503326,N4,N28,N35
0.503326,N3,N11,N39
0.503326,N2,M1T1,M2Q3
0.503326,N27,N33,M2Q1
0.503326,N23,N30,M1T3
0.503326,N18,N21,N36
0.503326,N11,N20,M2Q2
0.503326,N10,N30,M2Q1
0.503325,N26,N30,M0P1
0.503325,N17,N24,N31
0.503325,N12,N22,N31
0.503324,N7,N20,M0P2
0.503324,N4,N22,M0P2
0.503324,N3,N4,M2Q4
0.503324,N2,N26,M2Q3
0.503324,N2,N15,N27
0.503324,N23,N27,M2Q1
0.503324,N20,N28,M0P1
0.503324,N18,N38,M0P2
0.503324,N15,N34,M1T1
0.503323,N8,N15,N28
0.503323,N6,N13,N40
0.503323,N5,N9,N12
0.503323,N5,N19,N37
0.503323,N32,N35,M2Q4
0.503323,N24,N26,M2Q2
0.503323,N13,N35,M2Q2
0.503323,M1T2,M2Q3,M2Q4
0.503322,N9,N38,M2Q2
0.503322,N8,N39,M1T3
0.503322,N16,N22,M2Q4
0.503322,N14,N19,N39
0.503322,N11,N28,M1T1
0.503322,N11,N24,M0P2
0.503322,N10,N20,M1T3
0.503321,N9,N18,N34
0.503321,N7,N18,N39
0.503321,N29,N34,N36
0.503321,N22,N23,M2Q4
0.503321,N11,N36,N37
0.503320,N9,N15,N20
0.503320,N7,N26,M2Q3
0.503320,N15,N28,M2Q3
0.503320,N11,N31,M0P1
0.503319,N9,M0P1,M1T2
0.503319,N7,N9,N22
0.503319,N11,N15,N39
0.503318,N7,N12,N15
0.503318,N19,N22,M1T3
0.503318,N10,N30,M1T3
0.503317,N7,N14,N20
0.503317,N4,N9,M1T1
0.503317,N4,N5,M1T3
0.503317,N4,N15,N23
0.503317,N3,N18,N37
0.503316,N8,N12,N18
0.503316,N7,N10,M2Q3
0.503316,N17,M0P2,M1T3
0.503316,N16,N40,M1T2
0.503316,N13,N39,M1T3
0.503316,N13,N18,M1T2
0.503315,N9,N16,N31
0.503315,N5,N6,N18
0.503315,N18,N34,M1T2
0.503315,N18,N27,M2Q3
0.503315,N15,N19,M2Q1
0.503315,N12,M1T1,M2Q4
0.503315,N11,N36,M0P2
0.503315,N11,N18,M0P2
0.503315,N10,N13,M2Q4
0.503314,N20,N24,N31
0.503314,N18,M1T1,M2Q1
0.503314,N15,N30,N31
0.503314,N10,N28,M2Q2
0.503313,N6,N7,N30
0.503313,N2,N26,N29
0.503313,N26,N34,N35
0.503313,N19,N25,M1T3
0.503312,N21,N23,M2Q3
0.503312,N18,N29,N33
0.503312,N16,N28,M2Q1
0.503312,N16,M1T1,M1T3
0.503311,N8,N24,N28
0.503311,N7,N10,N39
0.503311,N4,N7,N10
0.503311,N4,N22,N26
0.503311,N3,N20,M1T2
0.503311,N38,M1T1,M1T3
0.503311,N31,M2Q1,M2Q2
0.503311,N30,M1T2,M2Q1
0.503311,N19,N22,N26
0.503311,N10,N39,M2Q2
0.503310,N7,N19,M2Q4
0.503310,N5,N20,N30
0.503310,N3,N22,N40
0.503310,N27,N31,M1T2
0.503310,N27,N28,M2Q2
0.503310,N18,N29,M2Q2
