Alpha,SNP_A,SNP_B
0.000109,N2,N13
0.000109,N1,N30
0.000108,N38,N40
0.000107,N21,N24
0.000106,N19,N25
0.000104,N1,N23
0.000102,N6,N27
0.000102,N17,N27
0.000101,N21,M2Q2
0.000099,N8,N40
0.000097,N6,M2Q3
0.000096,N25,N33
0.000096,N1,N24
0.000093,N19,N27
0.000092,N9,N22
0.000091,N21,N32
0.000088,N2,N19
0.000088,N28,M1T2
0.000086,N22,N38
0.000085,N8,N12
0.000084,N11,N37
0.000079,N13,N26
0.000078,N7,N38
0.000076,N1,N34
0.000076,N1,M2Q1
0.000072,N1,N27
0.000069,N6,N28
0.000065,N1,N20
0.000064,N9,N30
0.000064,N28,M2Q1
0.000064,N25,N38
0.000059,N5,N21
0.000057,N7,N17
0.000056,N5,N38
0.000054,N17,N23
0.000049,N28,M2Q4
0.000048,N1,N15
0.000046,N1,N33
0.000044,N3,N21
0.000044,N1,N25
0.000043,N5,N19
0.000043,N17,N21
0.000040,N1,N31
0.000040,N1,N3
0.000039,N3,N26
0.000035,N1,N38
0.000034,N1,N5
0.000034,N1,N14
0.000032,N19,N26
0.000030,N21,N25
0.000026,N1,N21
0.000010,N5,N28
